"peak_number","unique_id","compounds_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample","group_area","peak_rating","replicate","sample_location","sample_name","mass_list_name","mass_list_match"
1522,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.902",13643,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.64,278.06932,279.0766,11.902,1908663.28926714,6,91.9,9.6,"PreferredDDA","[M+H]+1","a16_a",1503509.42600134,8.9,"a","a16","08-bottom-half","itnantibiotic_cyp_metabolites","Multiple matches found"
1522,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.902",13643,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.64,278.06932,279.0766,11.902,1908663.28926714,6,91.9,9.6,"PreferredDDA","[M+H]+1","a16_b",1380027.17413513,9.5,"b","a16","08-bottom-half","itnantibiotic_cyp_metabolites","Multiple matches found"
1522,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.902",13643,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.64,278.06932,279.0766,11.902,1908663.28926714,6,91.9,9.6,"PreferredDDA","[M+H]+1","a2_a",1276928.4076433,7.3,"a","a2","01-middle-quarter","itnantibiotic_cyp_metabolites","Multiple matches found"
1522,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.902",13643,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.64,278.06932,279.0766,11.902,1908663.28926714,6,91.9,9.6,"PreferredDDA","[M+H]+1","a2_b",1211996.10215816,7.5,"b","a2","01-middle-quarter","itnantibiotic_cyp_metabolites","Multiple matches found"
1522,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.902",13643,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.64,278.06932,279.0766,11.902,1908663.28926714,6,91.9,9.6,"PreferredDDA","[M+H]+1","a28_a",1662324.02318036,7.8,"a","a28","15-bottom-half","itnantibiotic_cyp_metabolites","Multiple matches found"
1522,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.902",13643,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.64,278.06932,279.0766,11.902,1908663.28926714,6,91.9,9.6,"PreferredDDA","[M+H]+1","a28_b",1758731.74230709,8.4,"b","a28","15-bottom-half","itnantibiotic_cyp_metabolites","Multiple matches found"
1522,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.902",13643,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.64,278.06932,279.0766,11.902,1908663.28926714,6,91.9,9.6,"PreferredDDA","[M+H]+1","a3_a",1337122.62033478,6.2,"a","a3","01-top-quarter","itnantibiotic_cyp_metabolites","Multiple matches found"
1522,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.902",13643,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.64,278.06932,279.0766,11.902,1908663.28926714,6,91.9,9.6,"PreferredDDA","[M+H]+1","a3_b",1392700.02107053,8.4,"b","a3","01-top-quarter","itnantibiotic_cyp_metabolites","Multiple matches found"
1522,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.902",13643,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.64,278.06932,279.0766,11.902,1908663.28926714,6,91.9,9.6,"PreferredDDA","[M+H]+1","a34_a",1170452.56774918,8,"a","a34","18-bottom-half","itnantibiotic_cyp_metabolites","Multiple matches found"
1522,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.902",13643,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.64,278.06932,279.0766,11.902,1908663.28926714,6,91.9,9.6,"PreferredDDA","[M+H]+1","a34_b",1288295.71339933,8.9,"b","a34","18-bottom-half","itnantibiotic_cyp_metabolites","Multiple matches found"
1522,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.902",13643,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.64,278.06932,279.0766,11.902,1908663.28926714,6,91.9,9.6,"PreferredDDA","[M+H]+1","a4_a",1321637.02608735,6.2,"a","a4","01-bottom-half","itnantibiotic_cyp_metabolites","Multiple matches found"
1522,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.902",13643,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.64,278.06932,279.0766,11.902,1908663.28926714,6,91.9,9.6,"PreferredDDA","[M+H]+1","a4_b",1574630.61684536,7.8,"b","a4","01-bottom-half","itnantibiotic_cyp_metabolites","Multiple matches found"
1522,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.902",13643,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.64,278.06932,279.0766,11.902,1908663.28926714,6,91.9,9.6,"PreferredDDA","[M+H]+1","a46_a",1606852.45157928,5.7,"a","a46","25-bottom-half","itnantibiotic_cyp_metabolites","Multiple matches found"
1522,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.902",13643,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.64,278.06932,279.0766,11.902,1908663.28926714,6,91.9,9.6,"PreferredDDA","[M+H]+1","a46_b",1523336.99507518,5.7,"b","a46","25-bottom-half","itnantibiotic_cyp_metabolites","Multiple matches found"
1522,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.902",13643,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.64,278.06932,279.0766,11.902,1908663.28926714,6,91.9,9.6,"PreferredDDA","[M+H]+1","a49_a",1497990.89058121,7.3,"a","a49","29-bottom-quarter","itnantibiotic_cyp_metabolites","Multiple matches found"
1522,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.902",13643,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.64,278.06932,279.0766,11.902,1908663.28926714,6,91.9,9.6,"PreferredDDA","[M+H]+1","a49_b",1490717.14845306,6.2,"b","a49","29-bottom-quarter","itnantibiotic_cyp_metabolites","Multiple matches found"
1522,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.902",13643,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.64,278.06932,279.0766,11.902,1908663.28926714,6,91.9,9.6,"PreferredDDA","[M+H]+1","a5_a",1714299.61758268,7.3,"a","a5","01-middle-half","itnantibiotic_cyp_metabolites","Multiple matches found"
1522,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.902",13643,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.64,278.06932,279.0766,11.902,1908663.28926714,6,91.9,9.6,"PreferredDDA","[M+H]+1","a5_b",1551935.8721649,7.8,"b","a5","01-middle-half","itnantibiotic_cyp_metabolites","Multiple matches found"
1522,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.902",13643,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.64,278.06932,279.0766,11.902,1908663.28926714,6,91.9,9.6,"PreferredDDA","[M+H]+1","a50_a",1657464.01480359,9.5,"a","a50","29-middle-quarter","itnantibiotic_cyp_metabolites","Multiple matches found"
1522,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.902",13643,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.64,278.06932,279.0766,11.902,1908663.28926714,6,91.9,9.6,"PreferredDDA","[M+H]+1","a50_b",1693789.94247522,7.3,"b","a50","29-middle-quarter","itnantibiotic_cyp_metabolites","Multiple matches found"
1522,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.902",13643,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.64,278.06932,279.0766,11.902,1908663.28926714,6,91.9,9.6,"PreferredDDA","[M+H]+1","a52_a",1296083.43543571,7.8,"a","a52","29-bottom-half","itnantibiotic_cyp_metabolites","Multiple matches found"
1522,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.902",13643,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.64,278.06932,279.0766,11.902,1908663.28926714,6,91.9,9.6,"PreferredDDA","[M+H]+1","a52_b",1261702.247386,5.9,"b","a52","29-bottom-half","itnantibiotic_cyp_metabolites","Multiple matches found"
1522,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.902",13643,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.64,278.06932,279.0766,11.902,1908663.28926714,6,91.9,9.6,"PreferredDDA","[M+H]+1","a54_a",1321400.80968075,7.8,"a","a54","29-top-half","itnantibiotic_cyp_metabolites","Multiple matches found"
1522,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.902",13643,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.64,278.06932,279.0766,11.902,1908663.28926714,6,91.9,9.6,"PreferredDDA","[M+H]+1","a54_b",1420396.88601906,7.3,"b","a54","29-top-half","itnantibiotic_cyp_metabolites","Multiple matches found"
1522,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.902",13643,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.64,278.06932,279.0766,11.902,1908663.28926714,6,91.9,9.6,"PreferredDDA","[M+H]+1","a6_a",1908663.28926714,7.8,"a","a6","01-top-half","itnantibiotic_cyp_metabolites","Multiple matches found"
1522,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.902",13643,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.64,278.06932,279.0766,11.902,1908663.28926714,6,91.9,9.6,"PreferredDDA","[M+H]+1","a6_b",1905142.23349701,7.3,"b","a6","01-top-half","itnantibiotic_cyp_metabolites","Multiple matches found"
1523,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_14.34",48599,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.49,278.06928,279.07656,14.34,812203.310995513,1,65.3,43.4,"PreferredDDA","[M+H]+1","a16_a",509657.206579775,5.5,"a","a16","08-bottom-half","itnantibiotic_cyp_metabolites","Multiple matches found"
1523,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_14.34",48599,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.49,278.06928,279.07656,14.34,812203.310995513,1,65.3,43.4,"PreferredDDA","[M+H]+1","a16_b",368396.8224965,7.2,"b","a16","08-bottom-half","itnantibiotic_cyp_metabolites","Multiple matches found"
1523,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_14.34",48599,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.49,278.06928,279.07656,14.34,812203.310995513,1,65.3,43.4,"PreferredDDA","[M+H]+1","a28_a",595050.844487091,7,"a","a28","15-bottom-half","itnantibiotic_cyp_metabolites","Multiple matches found"
1523,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_14.34",48599,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.49,278.06928,279.07656,14.34,812203.310995513,1,65.3,43.4,"PreferredDDA","[M+H]+1","a28_b",479822.937960569,7.7,"b","a28","15-bottom-half","itnantibiotic_cyp_metabolites","Multiple matches found"
1523,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_14.34",48599,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.49,278.06928,279.07656,14.34,812203.310995513,1,65.3,43.4,"PreferredDDA","[M+H]+1","a34_a",458003.076153758,7.7,"a","a34","18-bottom-half","itnantibiotic_cyp_metabolites","Multiple matches found"
1523,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_14.34",48599,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.49,278.06928,279.07656,14.34,812203.310995513,1,65.3,43.4,"PreferredDDA","[M+H]+1","a34_b",299147.964616888,7.2,"b","a34","18-bottom-half","itnantibiotic_cyp_metabolites","Multiple matches found"
1523,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_14.34",48599,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.49,278.06928,279.07656,14.34,812203.310995513,1,65.3,43.4,"PreferredDDA","[M+H]+1","a4_a",421497.767072231,7.2,"a","a4","01-bottom-half","itnantibiotic_cyp_metabolites","Multiple matches found"
1523,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_14.34",48599,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.49,278.06928,279.07656,14.34,812203.310995513,1,65.3,43.4,"PreferredDDA","[M+H]+1","a4_b",317608.884203996,9.3,"b","a4","01-bottom-half","itnantibiotic_cyp_metabolites","Multiple matches found"
1523,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_14.34",48599,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.49,278.06928,279.07656,14.34,812203.310995513,1,65.3,43.4,"PreferredDDA","[M+H]+1","a49_a",448166.226752166,7.2,"a","a49","29-bottom-quarter","itnantibiotic_cyp_metabolites","Multiple matches found"
1523,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_14.34",48599,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.49,278.06928,279.07656,14.34,812203.310995513,1,65.3,43.4,"PreferredDDA","[M+H]+1","a49_b",346551.138732,8.3,"b","a49","29-bottom-quarter","itnantibiotic_cyp_metabolites","Multiple matches found"
1523,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_14.34",48599,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.49,278.06928,279.07656,14.34,812203.310995513,1,65.3,43.4,"PreferredDDA","[M+H]+1","a5_a",318116.863297963,7.7,"a","a5","01-middle-half","itnantibiotic_cyp_metabolites","Multiple matches found"
