function	description	A4	A5	A6	A52	A53	A54
K00051	E1.1.1.82; malate dehydrogenase (NADP+) [EC:1.1.1.82]	9.0	0.0	2.0	13.0	0.0	0.0
K00052	leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]	36899.34	37558.359999999986	36897.26	37510.78	36498.84	45894.22
K00053	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]	34924.340000000004	35321.289999999986	35192.759999999995	34333.28	34186.009999999995	38419.22
K00054	mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	6814.0	7526.0	6521.0	6601.25	7531.0	3626.21
K00055	E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90]	1717.0	2112.62	2309.0	1722.25	1557.25	4167.88
K00057	gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	33235.45	33164.84	33529.460000000014	33383.4	31942.679999999997	38766.88
K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	48108.84	49715.54999999999	48020.45	47886.24	46818.59	58174.81000000001
K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	127775.05000000002	128496.31999999998	132461.66999999998	143717.7	118657.42	171546.9
K00060	tdh; threonine 3-dehydrogenase [EC:1.1.1.103]	7067.83	7200.92	7316.26	6155.39	6259.98	16936.65
K00064	E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]	1229.5	1436.9	1167.17	963.25	1198.92	2401.42
K00065	kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	2350.02	2902.62	3479.14	1882.85	2002.18	7549.160000000002
K00066	algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132]	609.5	547.0	447.5	527.0	620.0	333.0
K00067	rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	29775.95	29310.719999999994	29620.81	30491.15	30312.72999999999	17229.79
K00068	srlD; sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]	380.58	201.67	257.93	141.07	180.45	590.3000000000002
K00073	allD; ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]	27.67	41.0	54.76	54.34	24.87	504.34
K00074	paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	32142.8	34131.24	33392.35	36297.19	30481.14	61547.2
K00075	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	32736.950000000004	32620.339999999997	33148.960000000014	34863.97	31614.349999999984	36736.38
K00076	hdhA; 7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]	6311.02	4187.87	6338.969999999998	9082.3	5853.93	4526.21
K00077	panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]	21823.92	23865.77	22103.83	18094.3	23027.2	22732.49
K00082	ribD2; 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]	1057.5	1161.5	835.5	1235.75	1065.58	2278.34
K00086	dhaT; 1,3-propanediol dehydrogenase [EC:1.1.1.202]	107.96	112.83	100.31	330.0900000000001	116.37	318.71
K00087	ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]	600.0	577.3	475.1	1776.5	630.7	173.0
K00088	IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]	52639.2	52084.89	51247.29000000001	58629.14	50993.33999999999	55277.89
K00090	ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]	4477.66	4381.88	6093.1	2053.07	1740.0400000000004	3185.69
K00091	E1.1.1.219; dihydroflavonol-4-reductase [EC:1.1.1.219]	8236.49	6123.46	8027.67	14123.66	7024.16	4875.83
K00094	E1.1.1.251, gatD; galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]	2.33	1.67	1.53	0.57	0.4	34.33
K00096	araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	5352.83	5569.01	4964.17	3636.14	6245.44	3915.12
K00097	pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	16175.32	17559.62	16953.1	11647.07	15170.12	23491.86
K00098	idnD; L-idonate 5-dehydrogenase [EC:1.1.1.264]	371.5	443.57	328.0	557.5	496.0	7191.09
K00099	dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	31791.78	31643.339999999997	32423.13	32707.89	30966.349999999984	35627.25
K00100	bdhAB; butanol dehydrogenase [EC:1.1.1.-]	27567.18	27236.519999999997	26642.529999999995	26738.2	21973.139999999992	31276.970000000005
K00101	lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	15670.91	15004.95	17190.269999999997	16546.32	12247.87	25598.61
K00102	LDHD, dld; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]	4258.67	5481.75	4858.17	3838.59	3486.59	12625.15
K00103	GULO; L-gulonolactone oxidase [EC:1.1.3.8]	418.0	409.0	440.5	381.0	327.33	527.6700000000002
K00104	glcD; glycolate oxidase [EC:1.1.3.15]	27510.82	27741.29	25241.719999999994	28482.10000000001	27780.799999999992	32469.13
K00105	E1.1.3.21; alpha-glycerophosphate oxidase [EC:1.1.3.21]	3.0	2.0	0.0	1.0	2.0	82.21
K00108	betA, CHDH; choline dehydrogenase [EC:1.1.99.1]	16026.58	14651.33	16687.27	16975.08	12932.95	26152.68
K00109	L2HGDH; 2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]	210.5	220.0	180.5	232.5	235.0	314.5
K00111	glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	32407.19	30016.789999999994	32737.18	39595.51	31189.64	34466.05
K00112	glpB; glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]	452.16	403.67	487.26	115.24	216.2	83.86
K00113	glpC; glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]	659.1600000000002	492.67	601.2600000000001	145.23999999999995	277.2	99.86
K00114	exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]	1738.5	1947.0	1366.0	1990.0	1845.0	2261.5
K00116	mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]	3926.25	5363.67	5140.98	4784.64	3500.23	19901.210000000006
K00117	gcd; quinoprotein glucose dehydrogenase [EC:1.1.5.2]	1288.32	1147.79	1135.1	1045.48	834.28	2106.27
K00118	gfo; glucose-fructose oxidoreductase [EC:1.1.99.28]	16.5	11.0	18.5	0.0	22.67	18.5
K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	30664.5	25880.73	33417.94	38288.22	25781.399999999994	36213.51999999998
K00122	FDH; formate dehydrogenase [EC:1.17.1.9]	2248.5	2476.5	1754.67	2243.0	2432.34	1500.5
K00123	fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]	33577.71	32034.51	33602.48	37742.13000000001	33693.709999999985	30555.99
K00124	fdoH, fdsB; formate dehydrogenase iron-sulfur subunit	13241.03	12515.17	12993.23	13103.590000000002	12384.69	9441.11
K00125	fdhB; formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]	524.0	484.0	480.0	1335.0	998.0	239.0
K00126	fdsD; formate dehydrogenase subunit delta [EC:1.17.1.9]	2284.5	2572.5	1742.5	1960.0	2168.67	1736.0
K00127	fdoI, fdsG; formate dehydrogenase subunit gamma	4851.83	5887.25	4725.43	3203.74	3819.71	4280.28
K00128	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	50321.09999999999	53260.22	54012.89	58884.72000000001	47149.84999999999	96518.48
K00129	E1.2.1.5; aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]	6.0	13.0	13.0	0.0	6.0	4.0
K00130	betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]	35409.58	25790.65	35867.1	50883.99	33352.03	38614.6
K00131	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	542.76	579.51	543.6800000000002	1070.22	651.16	2719.16
K00132	E1.2.1.10; acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]	7.0	0.0	1.0	9.0	0.0	3.0
K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	39692.95	40117.83999999998	39264.13000000001	39932.8	38155.349999999984	41147.05
K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	38688.73	38777.72	39663.41	41356.859999999986	36220.23	65148.97
K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	38458.570000000014	40954.80999999998	37360.28000000001	39282.959999999985	36377.73	69934.62999999999
K00137	prr; aminobutyraldehyde dehydrogenase [EC:1.2.1.19]	3039.83	776.67	3584.93	6455.07	2828.2	917.11
K00138	aldB; aldehyde dehydrogenase [EC:1.2.1.-]	11254.42	13371.55	12027.99	10485.64	8370.81	30340.3
K00140	mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	19161.340000000004	18667.27	19982.66	20774.5	15851.83	35056.27
K00141	xylC; benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]	1586.0	1665.1999999999996	3332.0	431.0	474.5	2037.67
K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	33964.51	34253.639999999985	34422.03	31975.68	33038.569999999985	35665.78
K00146	feaB; phenylacetaldehyde dehydrogenase [EC:1.2.1.39]	409.67	481.57	506.43	671.6700000000002	456.2	8377.67
K00147	proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	28710.03	28330.409999999996	29151.800000000007	27818.49	26696.06999999999	33972.259999999995
K00148	fdhA; glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]	429.5	531.17	438.17	952.0	622.3299999999998	8738.310000000001
K00150	gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]	4091.5	4488.84	3862.34	2770.83	4859.17	2332.5
K00151	hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]	618.0	675.4	587.1	916.67	682.2	10194.67
K00152	nahF; salicylaldehyde dehydrogenase [EC:1.2.1.65]	0.0	0.0	0.0	0.0	0.0	4.0
K00153	E1.1.1.306; S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]	8878.75	7282.65	8229.0	12083.75	8062.41	12333.34
K00154	E1.2.1.68; coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]	6778.66	6740.71	8014.67	4511.0	4203.75	12142.25
K00156	poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1]	6581.41	4994.82	6856.76	10740.49	6430.280000000002	16120.45
K00158	E1.2.3.3, poxL; pyruvate oxidase [EC:1.2.3.3]	263.5	398.5	384.5	757.5	434.5	3397.27
K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	18928.78	20082.83	18586.85	20240.84	19253.33	46563.7
K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	18952.28	20129.33	18517.35	20159.84	19123.0	46278.7
K00163	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]	17356.57	15856.6	18096.27	18479.82	13627.04	25998.53
K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]	19379.07	18623.209999999995	21411.320000000003	21608.39	16304.4	32675.63
K00166	BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]	1137.17	1575.01	1959.55	1887.74	1079.69	8071.27
K00167	BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]	1354.17	1723.01	2127.55	2021.74	1198.36	8152.27
K00169	porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	5506.5	6018.17	5172.17	4965.83	6640.17	2601.5
K00170	porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	5761.0	6308.84	5412.84	5282.33	6917.17	2608.5
K00171	porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	4915.5	5407.17	4731.17	4151.33	5992.67	2508.5
K00172	porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]	5316.0	5722.17	5042.17	4481.33	6425.17	2572.5
K00174	korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	31475.58	31657.33	30263.620000000006	35942.55	34340.2	13317.51
K00175	korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	31390.65	31562.54	30192.76	35873.41	34272.26999999998	13233.51
K00176	korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	7811.75	8063.5	7472.4	10310.8	9210.45	1058.0
K00177	korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]	8082.25	8386.0	7771.4	10988.8	9566.45	1143.0
K00179	iorA; indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]	13720.15	14820.51	13067.61	10854.94	15474.56	6680.0
K00180	iorB; indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]	9871.65	10543.34	9424.94	8678.11	11101.39	4484.0
K00183	K00183; prokaryotic molybdopterin-containing oxidoreductase family, molybdopterin binding subunit	2.0	0.0	0.0	0.0	0.0	3.0
K00184	K00184; prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit	3611.16	3884.33	3756.5	5277.33	4446.99	2495.0
K00185	K00185; prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit	3606.16	3881.83	3753.0	5265.33	4439.99	2494.0
K00186	vorA; 2-oxoisovalerate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.7]	3963.0	4397.17	3723.17	2116.33	4442.17	2201.5
K00187	vorB; 2-oxoisovalerate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.7]	3830.5	4230.17	3594.17	2055.83	4331.17	2199.5
K00188	vorD; 2-oxoisovalerate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.7]	48.5	31.17	15.17	21.33	19.67	4.5
K00192	cdhA; acetyl-CoA decarbonylase/synthase complex subunit alpha [EC:1.2.7.4]	3795.5	4220.51	3590.51	2055.49	4331.51	2197.5
K00193	cdhC; acetyl-CoA decarbonylase/synthase complex subunit beta [EC:2.3.1.-]	7787.5	8628.17	7379.17	4710.33	9111.67	4507.5
K00194	cdhD, acsD; acetyl-CoA decarbonylase/synthase complex subunit delta [EC:2.1.1.245]	4887.0	5515.59	5071.84	3210.41	5232.34	2574.5
K00195	cdhB; acetyl-CoA decarbonylase/synthase complex subunit epsilon	3791.5	4214.84	3586.84	2052.16	4326.84	2197.5
K00196	cooF; anaerobic carbon-monoxide dehydrogenase iron sulfur subunit	6094.69	6373.84	5665.71	4745.54	6905.9	2912.04
K00197	cdhE, acsC; acetyl-CoA decarbonylase/synthase complex subunit gamma [EC:2.1.1.245]	4511.2	4709.59	4270.14	3359.51	5300.74	2477.5
K00198	cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]	5116.969999999998	4894.43	4709.91	4217.64	5720.04	2792.5
K00200	fwdA, fmdA; formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]	4831.66	5216.34	4388.51	3859.49	5864.01	2679.5
K00201	fwdB, fmdB; formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]	8743.16	9563.18	8095.85	6145.32	10407.18	4960.5
K00202	fwdC, fmdC; formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]	12401.16	13623.51	11550.68	7944.49	14493.01	7069.0
K00203	fwdD, fmdD; formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]	8067.0	8885.01	7614.51	5366.99	9614.01	4625.5
K00204	fwdH; 4Fe-4S ferredoxin	43.0	21.0	11.5	7.0	9.0	3.5
K00205	fwdF, fmdF; 4Fe-4S ferredoxin	4104.0	4486.01	3830.01	2704.16	4828.84	2319.0
K00208	fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	23000.990000000005	25901.879999999994	21779.65	18788.06	20613.399999999994	23995.26
K00209	fabV, ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]	1149.19	717.12	2631.54	307.96	384.06	3006.71
K00210	E1.3.1.12; prephenate dehydrogenase [EC:1.3.1.12]	66.0	66.0	59.5	93.5	81.5	226.25
K00211	TYR1; prephenate dehydrogenase (NADP+) [EC:1.3.1.13]	0.0	0.0	2.0	3.0	9.0	61.0
K00213	DHCR7; 7-dehydrocholesterol reductase [EC:1.3.1.21]	9.0	0.0	2.0	9.0	0.0	0.0
K00214	BLVRA, bvdR; biliverdin reductase [EC:1.3.1.24]	0.0	2.0	0.0	0.0	0.0	0.0
K00215	dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	45245.2	43330.889999999985	45389.8	47265.14	44697.6	45916.59
K00216	entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]	1020.33	1158.0	870.4300000000002	890.24	1005.2	1861.03
K00217	E1.3.1.32; maleylacetate reductase [EC:1.3.1.32]	89.5	133.0	55.5	182.0	110.0	1366.0
K00218	por; protochlorophyllide reductase [EC:1.3.1.33]	0.0	2.0	0.0	0.0	0.0	0.0
K00219	fadH; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]	14527.99	12001.16	15113.27	15126.9	10095.79	14998.69
K00220	tyrC; cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]	2590.5	2806.83	1886.0	2067.17	2583.0	1762.42
K00221	E4.99.1.2; alkylmercury lyase [EC:4.99.1.2]	6.0	0.0	0.0	2.0	14.0	34.0
K00222	TM7SF2, ERG24; Delta14-sterol reductase [EC:1.3.1.70]	0.0	0.0	2.0	0.0	0.0	0.0
K00226	pyrD; dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]	6721.5	7377.5	6415.0	8531.5	7697.17	907.0
K00227	SC5DL, ERG3; Delta7-sterol 5-desaturase [EC:1.14.19.20]	135.5	34.0	171.0	20.5	64.0	424.0
K00228	CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]	9270.66	9618.38	10551.7	7081.24	7233.66	14402.11
K00230	hemG; menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]	2135.66	2328.52	2056.93	3990.47	2595.73	1846.81
K00231	PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]	15569.92	12746.84	17085.43	22925.22	14167.63	23074.37
K00232	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]	6640.0	7340.57	5391.0	6125.5	6005.5	12216.0
K00239	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]	32368.44000000001	30070.0	33480.28	38185.40999999999	31026.539999999994	47271.14
K00240	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]	30520.44000000001	28109.5	31857.28	36408.73999999998	28347.209999999992	39132.7
K00241	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit	28617.94000000001	25988.369999999995	29969.78	33253.66	26015.459999999992	36476.97
K00242	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit	9992.66	10377.78	10613.6	7715.74	7473.96	23547.28
K00243	K00243; uncharacterized protein	6485.85	7331.48	7354.559999999998	7287.8	7059.75	8048.1
K00244	frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]	454.33	384.0	507.76	253.99	226.37	2806.93
K00245	frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]	227.33	247.0	326.76	54.24	30.37	99.86
K00246	frdC; fumarate reductase subunit C	227.33	247.0	326.76	54.24	30.37	94.86
K00247	frdD; fumarate reductase subunit D	219.33	234.0	319.76	83.24	19.87	94.86
K00248	ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]	12695.02	11095.93	13248.03	14479.79	10670.21	10236.53
K00249	ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]	58073.33	52140.56999999999	56544.9	71579.92	51182.57	48823.38
K00252	GCDH, gcdH; glutaryl-CoA dehydrogenase [EC:1.3.8.6]	19285.58	18417.14	19668.34	21592.0	16834.08	53301.42
K00253	IVD, ivd; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]	6118.33	6118.21	7342.84	3833.5	3599.25	11868.75
K00254	DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2]	13534.41	14128.03	14440.1	11483.99	11393.37	27061.28
K00255	ACADL; long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8]	5410.16	5282.88	5211.34	3956.16	2725.08	4362.16
K00256	E1.3.99.16; isoquinoline 1-oxidoreductase [EC:1.3.99.16]	355.0	311.67	254.17	228.0	380.67	93.0
K00257	mbtN, fadE14; acyl-ACP dehydrogenase [EC:1.3.99.-]	75630.85	73539.84000000003	80472.79000000001	78544.62	59214.63999999999	92012.12
