function	description	A4	A5	A6	A52	A53	A54
TIGR00044	pyridoxal phosphate enzyme, YggS family	33580.45	33765.259999999995	34683.630000000005	35032.05	32012.019999999986	39173.73999999998
TIGR00045	glycerate kinase	13537.17	14740.160000000002	12961.759999999998	13451.36	11474.39	32007.660000000003
TIGR00046	RNA methyltransferase, RsmE family	34491.28	34053.469999999994	35008.130000000005	35560.8	32038.599999999984	44703.70999999999
TIGR00048	23S rRNA (adenine(2503)-C(2))-methyltransferase	29223.450000000004	28624.519999999997	30503.960000000006	32039.7	28950.379999999994	36249.33
TIGR00049	iron-sulfur cluster assembly accessory protein	31505.9	30954.09	33571.679999999986	29734.87	26227.22999999999	49227.94
TIGR00050	RNA methyltransferase, TrmH family, group 1	11307.49	11592.47	12083.2	7510.6399999999985	9580.83	14774.47
TIGR00051	acyl-CoA thioester hydrolase, YbgC/YbaW family	42186.27	45558.06	47263.29000000001	35473.759999999995	36431.33	67562.34000000001
TIGR00052	nudix-type nucleoside diphosphatase, YffH/AdpP family	5166.49	5047.8200000000015	4959.53	4456.79	3249.4400000000005	5305.730000000001
TIGR00053	addiction module toxin component, YafQ family	504.16	649.6700000000002	611.5	1054.16	663.0	220.33
TIGR00054	RIP metalloprotease RseP	28824.950000000004	28170.44	30136.96	31243.72	28348.429999999997	29003.71
TIGR00055	di-trans,poly-cis-decaprenylcistransferase	49870.49000000001	51324.83	48732.45	49955.88	49708.47	55013.76
TIGR00056	ABC transport permease subunit	45639.48	50129.62	43420.6	39648.9	43581.69	37991.95
TIGR00057	tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family	49573.27	51213.28999999999	49882.23000000001	48786.45	46748.54999999998	48018.23999999999
TIGR00059	ribosomal protein bL17	32817.450000000004	32629.339999999997	33325.960000000014	34903.97	31745.349999999984	36710.38
TIGR00060	ribosomal protein uL18	32821.450000000004	32629.339999999997	33327.960000000014	34904.97	31748.349999999984	36715.38
TIGR00061	ribosomal protein bL21	32821.450000000004	32629.339999999997	33327.960000000014	34904.399999999994	31748.349999999984	36683.71
TIGR00062	ribosomal protein bL27	32821.450000000004	32629.339999999997	33327.960000000014	34904.97	31748.349999999984	36715.38
TIGR00063	GTP cyclohydrolase I	29462.950000000004	29169.259999999995	30077.960000000006	31762.320000000003	28134.81999999999	37143.55
TIGR00064	signal recognition particle-docking protein FtsY	37706.45	37717.75999999999	37972.63000000001	38435.05	37222.52	39239.87999999998
TIGR00065	cell division protein FtsZ	38490.789999999986	38976.849999999984	38679.8	41371.3	38907.359999999986	39592.88
TIGR00066	gamma-glutamyltransferase	16329.65	17235.08	19168.27	16641.65	14900.7	34139.2
TIGR00067	glutamate racemase	27773.460000000006	30459.009999999995	26450.79	26057.809999999994	27262.189999999995	34155.3
TIGR00068	lactoylglutathione lyase	11489.59	11901.76	11972.11	8566.14	8820.76	14551.28
TIGR00069	histidinol dehydrogenase	36668.84	37222.63	36684.26	36726.51	36141.69999999998	40388.65
TIGR00070	ATP phosphoribosyltransferase	34975.01	35361.469999999994	35343.759999999995	35231.679999999986	34382.869999999995	38598.34
TIGR00071	tRNA pseudouridine(38-40) synthase	37719.460000000014	37768.94	37945.81	38910.37	37477.569999999985	39551.12999999998
TIGR00072	hydrogenase maturation protease	6808.52	6956.01	6202.09	10860.990000000002	7515.09	4483.53
TIGR00073	hydrogenase accessory protein HypB	7578.61	8054.72	6163.23	8420.25	8498.19	3043.53
TIGR00074	hydrogenase assembly chaperone HypC/HupF	6326.69	6738.17	5587.49	8813.490000000002	6290.3899999999985	4422.53
TIGR00075	hydrogenase expression/formation protein HypD	4309.36	4551.5	3848.23	6959.25	4512.35	3352.03
TIGR00077	signal peptidase II	31140.19	27865.51	31981.78	34895.649999999994	28739.129999999994	35543.34
TIGR00078	nicotinate-nucleotide diphosphorylase (carboxylating)	33983.79	33838.00999999999	34391.13	32599.390000000007	33827.179999999986	35314.78
TIGR00079	peptide deformylase	42040.22	40891.819999999985	43672.37	48427.09999999999	39704.46999999999	68758.45
TIGR00080	protein-L-isoaspartate O-methyltransferase	30244.82	30077.49	30721.77	28273.07	29476.88	18169.93
TIGR00081	phosphoribosylaminoimidazolesuccinocarboxamide synthase	37333.46	37910.00999999999	38201.01	35648.64	36337.02	42222.22
TIGR00082	ribosome-binding factor A	32821.450000000004	32629.339999999997	33327.960000000014	34904.97	31754.349999999984	36667.38
TIGR00083	riboflavin biosynthesis protein RibF	32887.95	32672.339999999997	33472.960000000014	34985.97	31748.849999999984	36977.88
TIGR00084	Holliday junction DNA helicase RuvA	33031.29	32850.009999999995	33547.960000000014	35539.64	32221.019999999997	36798.38000000001
TIGR00086	SsrA-binding protein	32825.12000000002	32631.339999999997	33336.79	34909.64	31749.679999999997	36729.05
TIGR00087	5'/3'-nucleotidase SurE	29409.930000000004	25893.209999999995	30521.57	33621.08	29266.439999999995	15995.11
TIGR00088	tRNA (guanine(37)-N(1))-methyltransferase	32813.450000000004	32629.339999999997	33324.960000000014	34898.97	31733.349999999984	36715.38
TIGR00089	radical SAM methylthiotransferase, MiaB/RimO family	78168.70000000001	78533.45999999998	78860.74	82684.48000000001	78423.09999999999	66725.92
TIGR00090	ribosome silencing factor	32166.69	31975.009999999995	32674.28	33867.15	31068.55	36101.34
TIGR00091	tRNA (guanine-N(7)-)-methyltransferase	26439.410000000003	28410.669999999995	26385.160000000003	23341.949999999993	24462.52999999999	33983.380000000005
TIGR00092	GTP-binding protein YchF	32810.450000000004	32629.339999999997	33322.960000000014	34897.97	31733.349999999984	36715.38
TIGR00093	pseudouridine synthase	54239.81	53929.59	62829.72000000001	51095.03	45490.43000000001	80499.52999999997
TIGR00094	tRNA pseudouridine synthase, TruD family	5360.99	5030.34	6450.1	3661.9	5523.79	10658.36
TIGR00095	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	32782.450000000004	32618.339999999997	33279.960000000014	34772.97	31653.349999999984	36730.38
TIGR00096	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	35956.96	36139.01	36720.79	39334.31	35123.02	38804.05
TIGR00097	hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	30190.880000000005	33317.43	31508.35	27437.29	29629.64	52288.15
TIGR00099	Cof-like hydrolase	35341.61	32230.43	36811.69	47841.91	35320.28	65321.59
TIGR00100	hydrogenase nickel insertion protein HypA	7325.44	7736.89	6001.16	6989.57	7974.969999999998	3943.53
TIGR00101	urease accessory protein UreG	7337.08	8351.06	7065.5	6658.99	5831.5	15421.29
TIGR00103	DNA-binding protein, YbaB/EbfC family	25388.290000000005	24293.269999999997	26572.79	27638.89	24385.179999999997	27066.55
TIGR00104	tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase TsaA	13606.36	14860.22	13040.5	12276.0	14105.72	16086.4
TIGR00105	ribosomal protein bL31	36556.78	36435.97	36932.06	37856.539999999986	33953.219999999994	40184.07999999999
TIGR00106	uncharacterized protein, MTH1187 family	7503.39	8279.95	7028.839999999998	7573.56	8665.46	6736.21
TIGR00107	purine nucleoside phosphorylase	7495.2	5590.97	8653.36	11376.32	7082.18	8377.23
TIGR00109	ferrochelatase	23907.570000000003	23602.47	24568.65	23677.89	21381.229999999992	33732.13
TIGR00110	dihydroxy-acid dehydratase	43840.66	44711.73999999998	42768.41	42594.14	41859.919999999984	53318.39
TIGR00111	mRNA surveillance protein pelota	4086.0	4482.17	3851.17	2754.83	4853.67	2318.5
TIGR00112	pyrroline-5-carboxylate reductase	32346.78	31753.089999999997	32807.020000000004	34410.89	30420.349999999984	37694.88
TIGR00113	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	28738.370000000006	27997.69	30537.460000000006	31127.22	28988.769999999997	24393.710000000006
TIGR00114	6,7-dimethyl-8-ribityllumazine synthase	36126.95	36874.289999999986	36813.3	34702.39	34855.85	44868.67
TIGR00115	trigger factor	32870.450000000004	32658.14	33390.960000000014	34917.97	31769.349999999984	36742.88
TIGR00116	translation elongation factor Ts	32813.450000000004	32629.339999999997	33324.960000000014	34898.97	31733.349999999984	36715.38
TIGR00117	aconitate hydratase 2	4953.66	4773.05	6725.6	2756.07	2083.46	9959.19
TIGR00118	acetolactate synthase, large subunit, biosynthetic type	35632.950000000004	36204.02	36162.09	35124.520000000004	34606.569999999985	38814.44
TIGR00119	acetolactate synthase, small subunit	33962.37	34966.76	33058.98999999998	34089.950000000004	33562.609999999986	37517.58
TIGR00120	glutamate N-acetyltransferase/amino-acid acetyltransferase	28178.18	28605.299999999992	27073.0	27042.44	26921.169999999995	31927.919999999995
TIGR00121	biotin--[acetyl-CoA-carboxylase] ligase	34249.28	36715.83999999998	33991.130000000005	31431.88	34150.099999999984	35625.880000000005
TIGR00122	biotin operon repressor	10203.71	10234.15	12187.96	7975.059999999998	10567.19	11506.46
TIGR00123	cobalamin biosynthesis protein CbiM	14855.23	15752.76	13262.65	14210.44	15419.759999999998	6800.6
TIGR00124	[citrate (pro-3S)-lyase] ligase	757.5699999999998	895.21	753.24	1052.18	664.77	106.53
TIGR00125	cytidyltransferase-like domain	109776.89	113253.7	111423.40999999996	110400.56000000004	109361.08	130690.27
TIGR00126	deoxyribose-phosphate aldolase	27403.040000000005	27535.05	26541.45	31610.06	28823.849999999995	23881.97
TIGR00127	isocitrate dehydrogenase, NADP-dependent	5649.0	6431.63	5012.0	6483.92	6213.25	4719.92
TIGR00128	malonyl CoA-acyl carrier protein transacylase	22239.370000000006	23208.02	23040.96	19897.98	21540.09999999999	23913.88
TIGR00129	formate dehydrogenase family accessory protein FdhD	22530.61	21757.819999999992	22012.56	23088.500000000004	22183.439999999995	23974.18
TIGR00130	coenzyme F420-reducing hydrogenase, FrhD protein	268.0	245.67	232.17	634.0	487.0	118.5
TIGR00131	galactokinase	14599.5	13235.28	14396.44	20377.56	14294.92	15703.01
TIGR00132	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit	29942.18	29995.669999999984	28859.329999999994	32104.85000000001	29129.669999999995	35207.98
TIGR00133	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit	29983.68	30018.669999999984	28892.329999999994	32706.85000000001	29174.169999999995	35207.98
TIGR00134	glutamyl-tRNA(Gln) amidotransferase, subunit E	4088.0	4482.17	3865.17	2769.83	4859.67	2321.5
TIGR00135	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C subunit	29873.18	29953.669999999984	28815.829999999994	32033.85000000001	29087.669999999995	35200.48
TIGR00136	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA	21387.370000000006	22772.69	22542.46	18474.72	21111.939999999995	22886.710000000006
TIGR00137	tRNA:m(5)U-54 methyltransferase	6011.87	6659.51	6248.85	8492.59	6485.26	9082.48
TIGR00138	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	29381.620000000006	31677.339999999997	29193.96	28310.97	28703.349999999984	36045.38
TIGR00140	hydrogenase expression/formation protein	1019.16	1089.84	919.69	631.7399999999999	685.7399999999999	286.49999999999994
TIGR00142	hydrogenase maturation peptidase HycI	235.33	238.67	303.76	110.24	54.87000000000001	48.36
TIGR00143	carbamoyltransferase HypF	4100.36	4315.5	3767.23	6698.25	4368.35	3511.7000000000007
TIGR00144	beta-ribofuranosylaminobenzene 5'-phosphate synthase family	8640.66	9438.34	8001.51	5952.99	10208.51	4878.5
TIGR00145	FTR1 family protein	10153.5	8758.73	9940.48	14024.67	9133.79	7238.3600000000015
TIGR00147	lipid kinase, YegS/Rv2252/BmrU family	22362.18	24045.4	24027.700000000004	25625.5	23091.169999999995	34184.10000000001
TIGR00148	decarboxylase, UbiD family	10047.27	10939.67	8832.23	6197.81	11305.19	8078.66
TIGR00149	secondary thiamine-phosphate synthase enzyme	22476.11	24532.83	20685.680000000004	20859.91	26944.43	13036.04
TIGR00150	tRNA threonylcarbamoyl adenosine modification protein YjeE	32821.450000000004	32629.339999999997	33327.460000000014	34904.97	31748.349999999984	36715.38
TIGR00151	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	32005.62000000001	31956.339999999997	32621.29	32940.39	31203.519999999997	36091.84
TIGR00152	dephospho-CoA kinase	32821.450000000004	32629.339999999997	33327.960000000014	34904.97	31748.349999999984	36715.38
TIGR00153	TIGR00153 family protein	10561.17	12685.05	10277.44	10085.09	10154.59	10949.74
TIGR00154	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	28289.950000000004	30091.839999999997	28288.46	24669.97	26911.019999999997	35614.38
TIGR00155	integral membrane protein, PqiA family	524.99	558.01	642.85	163.48	96.24	270.05
TIGR00156	TIGR00156 family protein	3011.99	2774.9300000000007	3001.03	2126.9000000000005	942.57	2777.71
TIGR00157	ribosome small subunit-dependent GTPase A	31051.12000000001	31167.859999999993	32762.35	33894.450000000004	29730.8	42486.69000000002
TIGR00158	ribosomal protein bL9	32825.12000000002	32630.339999999997	33335.29	34906.64	31748.349999999984	36729.05
TIGR00159	TIGR00159 family protein	11858.55	12764.98	12791.36	15191.15	13656.48	11467.6
TIGR00160	methylglyoxal synthase	9654.51	10585.28	9646.16	8564.05	10642.62	10171.67
TIGR00161	TIGR00161 family protein	4042.5	4461.17	3846.17	2761.83	4846.17	2319.5
TIGR00162	TIGR00162 family protein	4085.5	4482.17	3851.17	2754.83	4851.17	2318.5
TIGR00163	phosphatidylserine decarboxylase	5759.59	5966.530000000002	8316.5	5087.96	2964.120000000001	16928.58
TIGR00164	phosphatidylserine decarboxylase homolog	16541.7	18407.83	14898.47	14626.85	17260.15	8666.59
TIGR00165	ribosomal protein bS18	34753.12	34819.84	34957.79	36893.64	33755.349999999984	38573.22
TIGR00166	ribosomal protein bS6	32825.12000000002	32630.339999999997	33335.29	34906.64	31748.349999999984	36729.05
TIGR00167	ketose-bisphosphate aldolase	31652.89	34782.95	30090.84	31402.16	30605.97	40722.83
TIGR00168	translation initiation factor IF-3	32977.45	32793.34	33531.960000000014	34912.97	31748.349999999984	36676.38
TIGR00169	3-isopropylmalate dehydrogenase	26487.51	28688.119999999984	26582.59	25103.95	25672.34	42026.78
TIGR00170	3-isopropylmalate dehydratase, large subunit	25833.07	25556.86	26350.65	26995.49	23533.369999999995	35105.22
TIGR00171	3-isopropylmalate dehydratase, small subunit	25887.07	25616.86	26426.15	27014.99	23589.369999999995	35113.72
TIGR00172	septum formation protein Maf	39301.61	39195.04999999999	40714.4	38500.87	35419.889999999985	40197.16
TIGR00173	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase	15019.58	14457.67	15679.81	19698.06	14584.48	20400.210000000006
TIGR00174	tRNA dimethylallyltransferase	35351.45	35512.84	35912.460000000014	37732.47	34734.349999999984	38337.88
TIGR00175	isocitrate dehydrogenase, NAD-dependent	903.5	245.5	2146.5	145.5	364.5	1494.5
TIGR00176	molybdopterin-guanine dinucleotide biosynthesis protein B	9054.81	10315.71	8938.599999999999	8291.630000000001	9319.429999999997	8344.550000000001
TIGR00177	molybdenum cofactor synthesis domain	103641.81	104069.01	102178.33000000002	108000.01	104737.3	102167.22
TIGR00178	isocitrate dehydrogenase, NADP-dependent	13714.08	11954.36	14910.67	14744.33	10620.75	22859.5
TIGR00179	UDP-N-acetylenolpyruvoylglucosamine reductase	32832.950000000004	32633.339999999997	33330.960000000014	34908.97	31750.349999999984	36737.38
TIGR00180	ParB/RepB/Spo0J family partition protein	44526.29000000001	45825.72999999999	44690.56000000001	45228.25	42772.46	51670.45
TIGR00181	oligoendopeptidase F	6906.3899999999985	7534.1	8341.24	8764.98	6787.32	14744.830000000005
TIGR00182	fatty acid/phospholipid synthesis protein PlsX	17300.54	18882.56	17080.29	16328.39	18144.77	15778.88
TIGR00183	isocitrate dehydrogenase, NADP-dependent	7483.83	8713.390000000001	7429.98	5653.31	6649.6500000000015	11009.92
TIGR00184	adenylosuccinate synthase	36355.45	36498.33999999998	36576.13	36824.81	35856.679999999986	40211.55
TIGR00185	tRNA (cytidine(34)-2'-O)-methyltransferase	16748.449999999993	17536.01	17596.96	13283.72	15311.27	29743.210000000006
TIGR00186	RNA methyltransferase, TrmH family, group 3	32446.210000000006	32191.809999999994	32894.79	34519.31	30864.269999999997	36481.55
TIGR00187	riboflavin synthase, alpha subunit	32069.450000000004	31877.709999999995	32343.300000000007	32208.89	30610.679999999997	37365.0
TIGR00188	ribonuclease P protein component	32666.450000000004	32510.339999999997	33031.960000000014	33988.97	31538.179999999997	34459.21
TIGR00189	acyl-CoA thioesterase II	21518.740000000005	20400.61	21244.43	24458.99	18859.53	31326.45
TIGR00190	phosphomethylpyrimidine synthase	25806.370000000006	26973.349999999995	24967.08	18523.31	26506.66	28394.07
TIGR00191	homoserine kinase	18745.27	20090.2	18856.08	18633.28	19172.34	24367.97
TIGR00192	urease, beta subunit	7467.08	8429.39	7218.5	6783.74	5927.25	14527.71
TIGR00193	urease, gamma subunit	7521.08	8504.39	7305.5	6869.99	5978.5	15658.71
TIGR00194	excinuclease ABC subunit C	36288.96	36426.17999999999	36505.46	36631.14	35848.689999999995	38919.55
TIGR00195	exodeoxyribonuclease III	44844.37	45608.72999999999	44885.8	42383.99000000001	41684.58	51715.35
TIGR00196	YjeF family C-terminal domain	36411.78	36152.00999999999	35785.08	37269.38	36572.349999999984	34498.21
TIGR00197	YjeF family N-terminal domain	28772.28000000001	30367.339999999997	28093.42	26609.55	30066.179999999997	30395.94
TIGR00198	catalase/peroxidase HPI	12606.08	13922.37	11324.1	11645.4	11729.45	21062.09
TIGR00199	amidohydrolase, PncC family	35738.45	35784.68	36483.56	37059.8	33535.29999999999	32978.9
TIGR00200	competence/damage-inducible protein CinA N-terminal domain	17063.21	15830.51	18443.46	23400.55	18566.18	13902.63
TIGR00201	comF family protein	21112.210000000006	22122.02	22241.96	19281.14	20891.519999999997	20097.05
TIGR00202	carbon storage regulator	9226.55	8914.830000000002	11336.75	8787.16	7894.43	17460.71
TIGR00203	cytochrome d ubiquinol oxidase, subunit II	24183.65	23196.75	23932.53	23762.31	20129.82	29819.21
TIGR00204	1-deoxy-D-xylulose-5-phosphate synthase	33594.78	33609.55	34053.130000000005	35377.06	32880.01999999998	37428.84
TIGR00205	flagellar hook-basal body complex protein FliE	11571.77	12577.14	12949.69	7492.59	11315.91	9963.13
TIGR00206	flagellar M-ring protein FliF	13219.94	14395.97	14231.089999999998	9464.76	13242.71	11118.3
TIGR00207	flagellar motor switch protein FliG	11308.44	12156.64	12775.089999999998	7353.09	11133.21	9968.38
TIGR00208	flagellar protein FliS	10524.27	11338.31	12159.02	6998.09	10205.91	9756.71
TIGR00209	galactose-1-phosphate uridylyltransferase	5064.24	5653.65	4979.76	6761.82	5390.28	12211.53
TIGR00210	sodium/glutamate symporter	5423.66	5611.31	6378.15	4594.0	2667.12	14476.89
TIGR00211	glycine--tRNA ligase, beta subunit	13558.86	13827.48	13512.4	11490.82	11893.22	14882.520000000002
TIGR00212	hydroxymethylbilane synthase	33816.45	33761.169999999984	34059.8	32115.89	32857.349999999984	38726.55
TIGR00213	D,D-heptose 1,7-bisphosphate phosphatase	7067.33	7516.67	6927.69	7655.41	7743.74	3530.7000000000007
TIGR00214	lipoyl(octanoyl) transferase	24694.9	24181.36	24557.1	24192.07	22638.449999999993	29007.78
TIGR00215	lipid-A-disaccharide synthase	15692.82	16789.71	16116.6	11989.07	14967.29	14869.11
TIGR00216	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	32408.450000000004	32286.839999999997	32995.460000000014	33279.22	31671.519999999997	37322.17
TIGR00217	4-alpha-glucanotransferase	15360.2	16754.129999999994	12815.41	15277.48	16070.569999999998	6396.57
TIGR00218	mannose-6-phosphate isomerase, class I	12528.499999999998	13673.839999999998	11570.61	13534.85	12227.8	16404.91
TIGR00219	rod shape-determining protein MreC	23199.71000000001	21799.36	25088.46	24306.97	22407.189999999995	24548.460000000006
TIGR00220	large conductance mechanosensitive channel protein	32087.17	32601.879999999986	32661.33	30460.04	30848.619999999995	35046.880000000005
TIGR00221	N-acetylglucosamine-6-phosphate deacetylase	13600.839999999998	14000.96	15085.25	13251.39	13415.65	24785.060000000005
TIGR00222	3-methyl-2-oxobutanoate hydroxymethyltransferase	28372.020000000004	28458.589999999997	29179.450000000004	29830.99	26933.05	35290.63
TIGR00223	aspartate 1-decarboxylase	24337.020000000004	24105.089999999997	25736.28000000001	26368.82	22979.88	34696.209999999985
TIGR00224	phosphoenolpyruvate carboxykinase (ATP)	7419.16	8598.810000000001	8039.309999999998	9423.31	8268.9	10942.63
TIGR00225	C-terminal processing peptidase	34127.73	36461.30999999998	38641.36	33212.819999999985	33470.569999999985	45069.47
TIGR00227	riboflavin-specific deaminase C-terminal domain	36211.7	36410.789999999986	36434.8	35888.89	35962.179999999986	30858.67
TIGR00228	crossover junction endodeoxyribonuclease RuvC	31673.520000000004	31068.529999999995	31325.730000000003	32910.33	31096.52	29746.78
TIGR00229	PAS domain S-box protein	216197.89	230510.93	225398.12	208790.67	227929.14000000004	179240.02000000005
TIGR00230	sugar fermentation stimulation protein	5583.29	5907.13	5204.74	5569.580000000001	6049.57	1957.03
TIGR00231	small GTP-binding protein domain	366907.34	368817.03	369992.8	373886.5	363575.20000000007	370570.3
TIGR00232	transketolase	21729.560000000005	20851.419999999995	22764.22	25294.23	18178.59	34532.039999999986
TIGR00233	tryptophan--tRNA ligase	36309.45	36504.169999999984	36606.460000000014	37379.12	35492.599999999984	40407.08
TIGR00234	tyrosine--tRNA ligase	37548.44	37839.83999999998	37807.6	38791.83	37299.33999999998	39476.05
TIGR00235	uridine kinase	8602.68	6796.6500000000015	9882.32	14449.79	8440.949999999999	9052.46
TIGR00236	UDP-N-acetylglucosamine 2-epimerase	31662.7	32061.909999999996	31191.26	34887.31	33769.46	24439.46
TIGR00237	exodeoxyribonuclease VII, large subunit	35224.95	35402.83999999998	35099.960000000014	36490.47	35745.85	38659.38
TIGR00238	KamA family protein	20584.860000000004	21127.97	20355.730000000003	19680.17	20273.1	16015.36
TIGR00239	oxoglutarate dehydrogenase (succinyl-transferring), E1 component	21358.570000000003	20860.209999999995	23077.820000000003	23638.39	18382.4	34481.63
TIGR00240	aspartate carbamoyltransferase, regulatory subunit	9250.32	10007.27	9046.4	8319.09	10563.03	3083.36
TIGR00241	putative CoA-substrate-specific enzyme activase	13337.95	13745.78	12976.250000000002	11104.329999999998	15078.67	3862.79
TIGR00242	division/cell wall cluster transcriptional repressor MraZ	26739.52	29161.42	26851.75	24814.03	27026.259999999995	26658.3
TIGR00243	1-deoxy-D-xylulose 5-phosphate reductoisomerase	31791.78	31643.339999999997	32423.13	32706.89	30966.349999999984	35627.25
TIGR00244	transcriptional regulator NrdR	28396.29	27550.509999999995	28613.960000000006	30002.39	26056.519999999997	34331.380000000005
